"Line","Hybrid_Name","Env","SN","PTR","SB"
"SEEDFHB000294","SEEDFHB000294","Env2",6,4,7
"SEEDFHB000295","SEEDFHB000295","Env2",10,5,7
"SEEDFHB000296","SEEDFHB000296","Env2",8,8,7
"SEEDFHB000297","SEEDFHB000297","Env2",10,4,6
"SEEDFHB000298","SEEDFHB000298","Env2",13,4,9
"SEEDFHB000299","SEEDFHB000299","Env2",10,7,17
"SEEDFHB000300","SEEDFHB000300","Env2",15,8,11
"SEEDFHB000301","SEEDFHB000301","Env2",4,5,4
"SEEDFHB000302","SEEDFHB000302","Env2",10,3,9
"SEEDFHB000303","SEEDFHB000303","Env2",4,11,4
"SEEDFHB000304","SEEDFHB000304","Env2",4,6,4
"SEEDFHB000305","SEEDFHB000305","Env2",8,6,4
"SEEDFHB000306","SEEDFHB000306","Env2",4,5,10
"SEEDFHB000307","SEEDFHB000307","Env2",8,5,4
"SEEDFHB000308","SEEDFHB000308","Env2",8,5,4
"SEEDFHB000309","SEEDFHB000309","Env2",11,4,4
"SEEDFHB000310","SEEDFHB000310","Env2",8,4,6
"SEEDFHB000311","SEEDFHB000311","Env2",4,10,4
"SEEDFHB000312","SEEDFHB000312","Env2",4,4,7
"SEEDFHB000313","SEEDFHB000313","Env2",4,3,4
"SEEDFHB000314","SEEDFHB000314","Env2",4,5,6
"SEEDFHB000315","SEEDFHB000315","Env2",15,4,2
"SEEDFHB000316","SEEDFHB000316","Env2",4,11,17
"SEEDFHB000317","SEEDFHB000317","Env2",4,4,4
"SEEDFHB000318","SEEDFHB000318","Env2",15,4,4
"SEEDFHB000319","SEEDFHB000319","Env2",4,3,9
"SEEDFHB000320","SEEDFHB000320","Env2",4,14,4
"SEEDFHB000321","SEEDFHB000321","Env2",4,4,4
"SEEDFHB000322","SEEDFHB000322","Env2",4,4,7
"SEEDFHB000323","SEEDFHB000323","Env2",6,15,7
"SEEDFHB000324","SEEDFHB000324","Env2",4,2,5
"SEEDFHB000325","SEEDFHB000325","Env2",4,4,7
"SEEDFHB000326","SEEDFHB000326","Env2",11,4,3
"SEEDFHB000327","SEEDFHB000327","Env2",13,5,4
"SEEDFHB000328","SEEDFHB000328","Env2",4,5,6
"SEEDFHB000329","SEEDFHB000329","Env2",4,4,4
"SEEDFHB000330","SEEDFHB000330","Env2",8,4,4
"SEEDFHB000331","SEEDFHB000331","Env2",4,4,4
"SEEDFHB000332","SEEDFHB000332","Env2",4,10,4
"SEEDFHB000333","SEEDFHB000333","Env2",4,4,4
"SEEDFHB000334","SEEDFHB000334","Env2",6,4,7
"SEEDFHB000335","SEEDFHB000335","Env2",11,3,7
"SEEDFHB000336","SEEDFHB000336","Env2",4,3,5
"SEEDFHB000337","SEEDFHB000337","Env2",0,5,5
"SEEDFHB000338","SEEDFHB000338","Env2",4,5,6
"SEEDFHB000339","SEEDFHB000339","Env2",9,11,4
"SEEDFHB000340","SEEDFHB000340","Env2",4,11,4
"SEEDFHB000341","SEEDFHB000341","Env2",7,4,7
"SEEDFHB000342","SEEDFHB000342","Env2",5,4,5
"SEEDFHB000343","SEEDFHB000343","Env2",10,11,11
"SEEDFHB000344","SEEDFHB000344","Env2",10,4,4
"SEEDFHB000345","SEEDFHB000345","Env2",4,10,10
"SEEDFHB000346","SEEDFHB000346","Env2",11,9,6
"SEEDFHB000347","SEEDFHB000347","Env2",11,6,7
"SEEDFHB000348","SEEDFHB000348","Env2",4,7,13
"SEEDFHB000349","SEEDFHB000349","Env2",4,7,10
"SEEDFHB000350","SEEDFHB000350","Env2",4,4,6
"SEEDFHB000351","SEEDFHB000351","Env2",4,4,6
"SEEDFHB000352","SEEDFHB000352","Env2",7,4,9
"SEEDFHB000353","SEEDFHB000353","Env2",4,7,6
"SEEDFHB000354","SEEDFHB000354","Env2",4,4,17
"SEEDFHB000355","SEEDFHB000355","Env2",4,2,11
"SEEDFHB000356","SEEDFHB000356","Env2",4,4,11
"SEEDFHB000357","SEEDFHB000357","Env2",4,0,9
"SEEDFHB000358","SEEDFHB000358","Env2",0,5,6
"SEEDFHB000359","SEEDFHB000359","Env2",0,5,7
"SEEDFHB000360","SEEDFHB000360","Env2",4,6,9
"SEEDFHB000361","SEEDFHB000361","Env2",4,7,11
"SEEDFHB000362","SEEDFHB000362","Env2",4,11,10
"SEEDFHB000363","SEEDFHB000363","Env2",14,14,9
"SEEDFHB000364","SEEDFHB000364","Env2",6,3,14
"SEEDFHB000365","SEEDFHB000365","Env2",4,4,5
"SEEDFHB000366","SEEDFHB000366","Env2",4,11,4
"SEEDFHB000367","SEEDFHB000367","Env2",11,10,7
"SEEDFHB000368","SEEDFHB000368","Env2",13,0,9
"SEEDFHB000369","SEEDFHB000369","Env2",5,4,4
"SEEDFHB000370","SEEDFHB000370","Env2",4,7,4
"SEEDFHB000371","SEEDFHB000371","Env2",4,4,11
"SEEDFHB000372","SEEDFHB000372","Env2",14,7,0
"SEEDFHB000373","SEEDFHB000373","Env2",19,0,4
"SEEDFHB000374","SEEDFHB000374","Env2",8,13,7
"SEEDFHB000375","SEEDFHB000375","Env2",7,2,3
"SEEDFHB000376","SEEDFHB000376","Env2",4,3,6
"SEEDFHB000377","SEEDFHB000377","Env2",6,8,10
"SEEDFHB000378","SEEDFHB000378","Env2",0,0,4
"SEEDFHB000379","SEEDFHB000379","Env2",4,0,2
"SEEDFHB000380","SEEDFHB000380","Env2",19,11,4
"SEEDFHB000381","SEEDFHB000381","Env2",7,0,6
"SEEDFHB000382","SEEDFHB000382","Env2",14,11,11
"SEEDFHB000383","SEEDFHB000383","Env2",14,19,11
"SEEDFHB000384","SEEDFHB000384","Env2",17,19,10
"SEEDFHB000385","SEEDFHB000385","Env2",15,14,13
"SEEDFHB000386","SEEDFHB000386","Env2",4,5,6
"SEEDFHB000387","SEEDFHB000387","Env2",2,0,4
"SEEDFHB000388","SEEDFHB000388","Env2",17,10,6
"SEEDFHB000389","SEEDFHB000389","Env2",4,11,4
"SEEDFHB000390","SEEDFHB000390","Env2",7,6,7
"SEEDFHB000391","SEEDFHB000391","Env2",4,0,5
"SEEDFHB000392","SEEDFHB000392","Env2",5,4,4
"SEEDFHB000393","SEEDFHB000393","Env2",7,8,4
"SEEDFHB000394","SEEDFHB000394","Env2",4,0,4
"SEEDFHB000395","SEEDFHB000395","Env2",4,0,4
"SEEDFHB000396","SEEDFHB000396","Env2",4,10,4
"SEEDFHB000397","SEEDFHB000397","Env2",6,7,6
"SEEDFHB000398","SEEDFHB000398","Env2",13,3,4
"SEEDFHB000399","SEEDFHB000399","Env2",4,10,4
"SEEDFHB000400","SEEDFHB000400","Env2",0,5,4
"SEEDFHB000401","SEEDFHB000401","Env2",4,6,4
"SEEDFHB000402","SEEDFHB000402","Env2",4,4,4
"SEEDFHB000403","SEEDFHB000403","Env2",3,5,4
"SEEDFHB000404","SEEDFHB000404","Env2",5,15,4
"SEEDFHB000405","SEEDFHB000405","Env2",1,5,4
"SEEDFHB000406","SEEDFHB000406","Env2",6,19,4
"SEEDFHB000407","SEEDFHB000407","Env2",5,5,7
"SEEDFHB000408","SEEDFHB000408","Env2",4,2,6
"SEEDFHB000409","SEEDFHB000409","Env2",0,5,10
"SEEDFHB000410","SEEDFHB000410","Env2",9,10,8
"SEEDFHB000411","SEEDFHB000411","Env2",10,5,4
"SEEDFHB000412","SEEDFHB000412","Env2",4,11,4
"SEEDFHB000413","SEEDFHB000413","Env2",9,14,4
"SEEDFHB000414","SEEDFHB000414","Env2",2,3,4
"SEEDFHB000415","SEEDFHB000415","Env2",2,4,4
"SEEDFHB000416","SEEDFHB000416","Env2",4,5,4
"SEEDFHB000417","SEEDFHB000417","Env2",4,4,4
"SEEDFHB000418","SEEDFHB000418","Env2",4,7,14
"SEEDFHB000419","SEEDFHB000419","Env2",4,4,4
"SEEDFHB000420","SEEDFHB000420","Env2",4,4,4
"SEEDFHB000421","SEEDFHB000421","Env2",5,4,4
"SEEDFHB000422","SEEDFHB000422","Env2",4,0,4
"SEEDFHB000423","SEEDFHB000423","Env2",0,2,4
"SEEDFHB000424","SEEDFHB000424","Env2",3,2,5
"SEEDFHB000425","SEEDFHB000425","Env2",5,5,4
"SEEDFHB000426","SEEDFHB000426","Env2",4,8,4
"SEEDFHB000427","SEEDFHB000427","Env2",3,5,2
"SEEDFHB000428","SEEDFHB000428","Env2",7,11,4
"SEEDFHB000429","SEEDFHB000429","Env2",4,3,4
"SEEDFHB000430","SEEDFHB000430","Env2",5,7,4
"SEEDFHB000431","SEEDFHB000431","Env2",3,7,4
"SEEDFHB000432","SEEDFHB000432","Env2",7,4,2
"SEEDFHB000433","SEEDFHB000433","Env2",10,0,4
"SEEDFHB000434","SEEDFHB000434","Env2",4,8,4
"SEEDFHB000435","SEEDFHB000435","Env2",17,5,6
"SEEDFHB000436","SEEDFHB000436","Env2",4,5,4
"SEEDFHB000437","SEEDFHB000437","Env2",4,4,4
"SEEDFHB000438","SEEDFHB000438","Env2",4,6,4
"SEEDFHB000439","SEEDFHB000439","Env2",4,2,0
"SEEDFHB000440","SEEDFHB000440","Env2",7,3,10
"SEEDFHB000441","SEEDFHB000441","Env2",7,4,7
"SEEDFHB000442","SEEDFHB000442","Env2",4,2,5
"SEEDFHB000443","SEEDFHB000443","Env2",4,4,9
"SEEDFHB000444","SEEDFHB000444","Env2",4,4,6
"SEEDFHB000445","SEEDFHB000445","Env2",11,4,11
"SEEDFHB000446","SEEDFHB000446","Env2",8,4,7
"SEEDFHB000447","SEEDFHB000447","Env2",7,4,4
"SEEDFHB000448","SEEDFHB000448","Env2",10,2,11
"SEEDFHB000449","SEEDFHB000449","Env2",14,5,9
"SEEDFHB000450","SEEDFHB000450","Env2",13,8,6
"SEEDFHB000451","SEEDFHB000451","Env2",11,10,11
"SEEDFHB000452","SEEDFHB000452","Env2",11,5,6
"SEEDFHB000453","SEEDFHB000453","Env2",17,11,11
"SEEDFHB000454","SEEDFHB000454","Env2",4,2,4
"SEEDFHB000455","SEEDFHB000455","Env2",5,4,4
"SEEDFHB000456","SEEDFHB000456","Env2",13,3,2
"SEEDFHB000457","SEEDFHB000457","Env2",10,5,9
"SEEDFHB000458","SEEDFHB000458","Env2",5,4,4
"SEEDFHB000459","SEEDFHB000459","Env2",4,4,4
"SEEDFHB000460","SEEDFHB000460","Env2",13,4,7
"SEEDFHB000461","SEEDFHB000461","Env2",3,5,4
"SEEDFHB000462","SEEDFHB000462","Env2",4,7,3
"SEEDFHB000463","SEEDFHB000463","Env2",3,7,4
"SEEDFHB000464","SEEDFHB000464","Env2",4,4,4
"SEEDFHB000465","SEEDFHB000465","Env2",5,8,4
"SEEDFHB000466","SEEDFHB000466","Env2",5,8,4
"SEEDFHB000467","SEEDFHB000467","Env2",4,14,4
"SEEDFHB000468","SEEDFHB000468","Env2",4,13,4
"SEEDFHB000469","SEEDFHB000469","Env2",6,9,4
"SEEDFHB000470","SEEDFHB000470","Env2",4,11,5
"SEEDFHB000471","SEEDFHB000471","Env2",4,9,4
"SEEDFHB000472","SEEDFHB000472","Env2",11,0,2
"SEEDFHB000473","SEEDFHB000473","Env2",4,3,2
"SEEDFHB000474","SEEDFHB000474","Env2",4,1,4
"SEEDFHB000475","SEEDFHB000475","Env2",15,9,7
"SEEDFHB000476","SEEDFHB000476","Env2",6,11,7
"SEEDFHB000477","SEEDFHB000477","Env2",8,4,14
"SEEDFHB000478","SEEDFHB000478","Env2",5,15,7
"SEEDFHB000479","SEEDFHB000479","Env2",4,14,6
"SEEDFHB000480","SEEDFHB000480","Env2",4,4,6
"SEEDFHB000481","SEEDFHB000481","Env2",11,5,0
"SEEDFHB000482","SEEDFHB000482","Env2",3,4,7
"SEEDFHB000483","SEEDFHB000483","Env2",10,19,4
"SEEDFHB000484","SEEDFHB000484","Env2",7,0,7
"SEEDFHB000485","SEEDFHB000485","Env2",7,0,8
"SEEDFHB000486","SEEDFHB000486","Env2",7,5,9
"SEEDFHB000487","SEEDFHB000487","Env2",11,4,11
"SEEDFHB000488","SEEDFHB000488","Env2",0,5,11
"SEEDFHB000489","SEEDFHB000489","Env2",20,3,15
"SEEDFHB000490","SEEDFHB000490","Env2",4,6,6
"SEEDFHB000491","SEEDFHB000491","Env2",2,3,4
"SEEDFHB000492","SEEDFHB000492","Env2",5,6,9
"SEEDFHB000493","SEEDFHB000493","Env2",9,10,7
"SEEDFHB000494","SEEDFHB000494","Env2",0,0,11
"SEEDFHB000495","SEEDFHB000495","Env2",0,0,14
"SEEDFHB000496","SEEDFHB000496","Env2",5,4,4
"SEEDFHB000497","SEEDFHB000497","Env2",1,3,7
"SEEDFHB000498","SEEDFHB000498","Env2",5,7,6
"SEEDFHB000499","SEEDFHB000499","Env2",9,5,7
"SEEDFHB000500","SEEDFHB000500","Env2",4,2,8
"SEEDFHB000501","SEEDFHB000501","Env2",4,0,6
"SEEDFHB000502","SEEDFHB000502","Env2",7,3,4
"SEEDFHB000503","SEEDFHB000503","Env2",11,5,7
"SEEDFHB000504","SEEDFHB000504","Env2",7,0,5
"SEEDFHB000505","SEEDFHB000505","Env2",20,19,5
"SEEDFHB000506","SEEDFHB000506","Env2",19,0,3
"SEEDFHB000507","SEEDFHB000507","Env2",8,13,3
"SEEDFHB000508","SEEDFHB000508","Env2",0,0,3
"SEEDFHB000509","SEEDFHB000509","Env2",7,8,2
"SEEDFHB000510","SEEDFHB000510","Env2",3,0,3
"SEEDFHB000511","SEEDFHB000511","Env2",4,4,3
"SEEDFHB000512","SEEDFHB000512","Env2",10,7,4
"SEEDFHB000513","SEEDFHB000513","Env2",4,8,3
"SEEDFHB000514","SEEDFHB000514","Env2",13,11,3
"SEEDFHB000515","SEEDFHB000515","Env2",4,2,3
"SEEDFHB000516","SEEDFHB000516","Env2",5,3,3
"SEEDFHB000517","SEEDFHB000517","Env2",11,5,3
"SEEDFHB000518","SEEDFHB000518","Env2",0,0,3
"SEEDFHB000519","SEEDFHB000519","Env2",4,5,3
"SEEDFHB000520","SEEDFHB000520","Env2",10,5,3
"SEEDFHB000521","SEEDFHB000521","Env2",14,14,3
"SEEDFHB000522","SEEDFHB000522","Env2",6,0,3
"SEEDFHB000523","SEEDFHB000523","Env2",8,6,3
"SEEDFHB000524","SEEDFHB000524","Env2",2,13,4
"SEEDFHB000525","SEEDFHB000525","Env2",0,4,4
"SEEDFHB000526","SEEDFHB000526","Env2",7,7,4
"SEEDFHB000527","SEEDFHB000527","Env2",6,14,3
"SEEDFHB000528","SEEDFHB000528","Env2",4,11,7
"SEEDFHB000529","SEEDFHB000529","Env2",0,5,10
"SEEDFHB000530","SEEDFHB000530","Env2",7,4,4
"SEEDFHB000531","SEEDFHB000531","Env2",5,4,4
"SEEDFHB000532","SEEDFHB000532","Env2",20,15,9
"SEEDFHB000533","SEEDFHB000533","Env2",4,9,5
"SEEDFHB000534","SEEDFHB000534","Env2",10,19,9
"SEEDFHB000535","SEEDFHB000535","Env2",4,3,8
"SEEDFHB000536","SEEDFHB000536","Env2",0,2,4
"SEEDFHB000537","SEEDFHB000537","Env2",4,11,2
"SEEDFHB000538","SEEDFHB000538","Env2",4,7,2
"SEEDFHB000539","SEEDFHB000539","Env2",4,3,4
"SEEDFHB000540","SEEDFHB000540","Env2",7,4,5
"SEEDFHB000541","SEEDFHB000541","Env2",4,8,3
"SEEDFHB000542","SEEDFHB000542","Env2",4,8,4
"SEEDFHB000543","SEEDFHB000543","Env2",3,2,6
"SEEDFHB000544","SEEDFHB000544","Env2",3,5,14
"SEEDFHB000545","SEEDFHB000545","Env2",4,5,0
"SEEDFHB000546","SEEDFHB000546","Env2",11,9,11
"SEEDFHB000547","SEEDFHB000547","Env2",4,2,4
"SEEDFHB000548","SEEDFHB000548","Env2",4,5,5
"SEEDFHB000549","SEEDFHB000549","Env2",13,0,9
"SEEDFHB000550","SEEDFHB000550","Env2",4,4,9
"SEEDFHB000551","SEEDFHB000551","Env2",4,4,4
"SEEDFHB000552","SEEDFHB000552","Env2",14,8,5
"SEEDFHB000553","SEEDFHB000553","Env2",0,9,4
"SEEDFHB000554","SEEDFHB000554","Env2",4,4,4
"SEEDFHB000555","SEEDFHB000555","Env2",4,4,4
"SEEDFHB000556","SEEDFHB000556","Env2",4,0,7
"SEEDFHB000557","SEEDFHB000557","Env2",13,0,5
"SEEDFHB000558","SEEDFHB000558","Env2",7,5,11
"SEEDFHB000559","SEEDFHB000559","Env2",6,0,7
"SEEDFHB000560","SEEDFHB000560","Env2",0,0,10
"SEEDFHB000561","SEEDFHB000561","Env2",5,0,15
"SEEDFHB000562","SEEDFHB000562","Env2",15,11,15
"SEEDFHB000563","SEEDFHB000563","Env2",5,2,9
"SEEDFHB000564","SEEDFHB000564","Env2",19,11,15
"SEEDFHB000565","SEEDFHB000565","Env2",14,14,15
"SEEDFHB000566","SEEDFHB000566","Env2",4,2,4
"SEEDFHB000567","SEEDFHB000567","Env2",7,2,6
"SEEDFHB000568","SEEDFHB000568","Env2",4,4,9
"SEEDFHB000569","SEEDFHB000569","Env2",4,4,9
"SEEDFHB000570","SEEDFHB000570","Env2",4,4,4
"SEEDFHB000571","SEEDFHB000571","Env2",10,4,7
"SEEDFHB000572","SEEDFHB000572","Env2",4,5,5
"SEEDFHB000573","SEEDFHB000573","Env2",5,5,4
"SEEDFHB000574","SEEDFHB000574","Env2",10,4,7
"SEEDFHB000575","SEEDFHB000575","Env2",4,9,9
"SEEDFHB000576","SEEDFHB000576","Env2",4,5,5
"SEEDFHB000577","SEEDFHB000577","Env2",4,5,4
"SEEDFHB000578","SEEDFHB000578","Env2",4,2,10
"SEEDFHB000579","SEEDFHB000579","Env2",7,7,6
"SEEDFHB000580","SEEDFHB000580","Env2",4,7,6
"SEEDFHB000581","SEEDFHB000581","Env2",4,4,5
"SEEDFHB000582","SEEDFHB000582","Env2",5,8,9
"SEEDFHB000583","SEEDFHB000583","Env2",0,3,5
"SEEDFHB000584","SEEDFHB000584","Env2",17,2,2
"SEEDFHB000585","SEEDFHB000585","Env2",0,0,6
"SEEDFHB000586","SEEDFHB000586","Env2",4,4,4
"SEEDFHB000587","SEEDFHB000587","Env2",11,7,9
"SEEDFHB000588","SEEDFHB000588","Env2",4,13,7
"SEEDFHB000589","SEEDFHB000589","Env2",4,4,4
"SEEDFHB000590","SEEDFHB000590","Env2",4,3,7
"SEEDFHB000591","SEEDFHB000591","Env2",4,5,4
"SEEDFHB000592","SEEDFHB000592","Env2",4,3,7
"SEEDFHB000593","SEEDFHB000593","Env2",4,6,6
"SEEDFHB000594","SEEDFHB000594","Env2",15,13,2
"SEEDFHB000595","SEEDFHB000595","Env2",8,5,2
"SEEDFHB000596","SEEDFHB000596","Env2",11,8,10
"SEEDFHB000597","SEEDFHB000597","Env2",7,4,3
"SEEDFHB000598","SEEDFHB000598","Env2",11,6,0
"SEEDFHB000599","SEEDFHB000599","Env2",13,11,7
"SEEDFHB000600","SEEDFHB000600","Env2",11,5,7
"SEEDFHB000601","SEEDFHB000601","Env2",4,11,4
"SEEDFHB000602","SEEDFHB000602","Env2",4,7,4
"SEEDFHB000603","SEEDFHB000603","Env2",15,4,5
"SEEDFHB000604","SEEDFHB000604","Env2",15,11,4
"SEEDFHB000605","SEEDFHB000605","Env2",15,14,4
"SEEDFHB000606","SEEDFHB000606","Env2",4,11,4
"SEEDFHB000607","SEEDFHB000607","Env2",8,4,5
"SEEDFHB000608","SEEDFHB000608","Env2",4,5,4
"SEEDFHB000609","SEEDFHB000609","Env2",8,4,5
"SEEDFHB000610","SEEDFHB000610","Env2",5,4,6
"SEEDFHB000611","SEEDFHB000611","Env2",3,3,2
"SEEDFHB000612","SEEDFHB000612","Env2",13,4,3
"SEEDFHB000613","SEEDFHB000613","Env2",0,1,9
"SEEDFHB000614","SEEDFHB000614","Env2",4,6,4
"SEEDFHB000615","SEEDFHB000615","Env2",4,4,6
"SEEDFHB000616","SEEDFHB000616","Env2",4,4,3
"SEEDFHB000617","SEEDFHB000617","Env2",4,4,7
"SEEDFHB000618","SEEDFHB000618","Env2",7,4,4
"SEEDFHB000619","SEEDFHB000619","Env2",15,7,6
"SEEDFHB000620","SEEDFHB000620","Env2",19,5,0
"SEEDFHB000621","SEEDFHB000621","Env2",0,2,6
"SEEDFHB000622","SEEDFHB000622","Env2",4,4,7
"SEEDFHB000623","SEEDFHB000623","Env2",4,0,4
"SEEDFHB000624","SEEDFHB000624","Env2",4,2,3
"SEEDFHB000625","SEEDFHB000625","Env2",9,0,6
"SEEDFHB000626","SEEDFHB000626","Env2",4,4,7
"SEEDFHB000627","SEEDFHB000627","Env2",4,3,7
"SEEDFHB000628","SEEDFHB000628","Env2",4,4,5
"SEEDFHB000629","SEEDFHB000629","Env2",4,4,0
"SEEDFHB000630","SEEDFHB000630","Env2",4,4,5
"SEEDFHB000631","SEEDFHB000631","Env2",4,3,0
"SEEDFHB000632","SEEDFHB000632","Env2",4,3,7
"SEEDFHB000633","SEEDFHB000633","Env2",7,4,9
"SEEDFHB000634","SEEDFHB000634","Env2",10,7,9
"SEEDFHB000635","SEEDFHB000635","Env2",14,10,4
"SEEDFHB000636","SEEDFHB000636","Env2",15,4,4
"SEEDFHB000637","SEEDFHB000637","Env2",10,4,4
"SEEDFHB000638","SEEDFHB000638","Env2",7,10,4
"SEEDFHB000639","SEEDFHB000639","Env2",4,9,7
"SEEDFHB000640","SEEDFHB000640","Env2",11,7,2
"SEEDFHB000641","SEEDFHB000641","Env2",11,4,6
"SEEDFHB000642","SEEDFHB000642","Env2",15,11,7
"SEEDFHB000643","SEEDFHB000643","Env2",13,4,5
"SEEDFHB000644","SEEDFHB000644","Env2",6,4,4
"SEEDFHB000645","SEEDFHB000645","Env2",6,4,5
"SEEDFHB000646","SEEDFHB000646","Env2",4,4,5
"SEEDFHB000647","SEEDFHB000647","Env2",11,4,5
"SEEDFHB000648","SEEDFHB000648","Env2",9,4,6
"SEEDFHB000649","SEEDFHB000649","Env2",8,4,5
"SEEDFHB000650","SEEDFHB000650","Env2",11,4,6
"SEEDFHB000651","SEEDFHB000651","Env2",4,4,8
"SEEDFHB000652","SEEDFHB000652","Env2",4,4,5
"SEEDFHB000653","SEEDFHB000653","Env2",7,6,4
"SEEDFHB000654","SEEDFHB000654","Env2",4,4,4
"SEEDFHB000655","SEEDFHB000655","Env2",9,4,4
"SEEDFHB000656","SEEDFHB000656","Env2",6,2,6
"SEEDFHB000657","SEEDFHB000657","Env2",5,2,6
"SEEDFHB000658","SEEDFHB000658","Env2",7,7,7
"SEEDFHB000659","SEEDFHB000659","Env2",14,4,9
"SEEDFHB000660","SEEDFHB000660","Env2",11,4,4
"SEEDFHB000661","SEEDFHB000661","Env2",4,0,4
"SEEDFHB000662","SEEDFHB000662","Env2",11,4,4
"SEEDFHB000663","SEEDFHB000663","Env2",14,6,7
"SEEDFHB000664","SEEDFHB000664","Env2",6,7,4
"SEEDFHB000665","SEEDFHB000665","Env2",4,7,4
"SEEDFHB000666","SEEDFHB000666","Env2",4,4,0
"SEEDFHB000667","SEEDFHB000667","Env2",4,4,4
"SEEDFHB000668","SEEDFHB000668","Env2",4,3,3
"SEEDFHB000669","SEEDFHB000669","Env2",19,8,4
"SEEDFHB000670","SEEDFHB000670","Env2",11,8,2
"SEEDFHB000671","SEEDFHB000671","Env2",14,7,4
"SEEDFHB000672","SEEDFHB000672","Env2",7,11,7
"SEEDFHB000673","SEEDFHB000673","Env2",4,4,7
"SEEDFHB000674","SEEDFHB000674","Env2",5,4,7
"SEEDFHB000675","SEEDFHB000675","Env2",0,4,6
"SEEDFHB000676","SEEDFHB000676","Env2",2,4,5
"SEEDFHB000677","SEEDFHB000677","Env2",2,4,4
"SEEDFHB000678","SEEDFHB000678","Env2",5,5,4
"SEEDFHB000679","SEEDFHB000679","Env2",4,4,6
"SEEDFHB000680","SEEDFHB000680","Env2",4,4,5
"SEEDFHB000681","SEEDFHB000681","Env2",4,5,10
"SEEDFHB000682","SEEDFHB000682","Env2",4,5,5
"SEEDFHB000683","SEEDFHB000683","Env2",4,4,2
"SEEDFHB000684","SEEDFHB000684","Env2",13,6,4
"SEEDFHB000685","SEEDFHB000685","Env2",4,3,6
"SEEDFHB000686","SEEDFHB000686","Env2",4,6,5
"SEEDFHB000687","SEEDFHB000687","Env2",4,6,4
"SEEDFHB000688","SEEDFHB000688","Env2",4,4,4
"SEEDFHB000689","SEEDFHB000689","Env2",4,3,4
"SEEDFHB000690","SEEDFHB000690","Env2",0,4,4
"SEEDFHB000691","SEEDFHB000691","Env2",4,4,4
"SEEDFHB000692","SEEDFHB000692","Env2",4,4,5
"SEEDFHB000693","SEEDFHB000693","Env2",10,8,5
"SEEDFHB000694","SEEDFHB000694","Env2",15,9,4
"SEEDFHB000695","SEEDFHB000695","Env2",19,11,5
"SEEDFHB000696","SEEDFHB000696","Env2",11,15,4
"SEEDFHB000697","SEEDFHB000697","Env2",4,0,4
"SEEDFHB000698","SEEDFHB000698","Env2",4,5,9
"SEEDFHB000699","SEEDFHB000699","Env2",0,9,6
"SEEDFHB000700","SEEDFHB000700","Env2",11,5,2
"SEEDFHB000701","SEEDFHB000701","Env2",19,11,7
"SEEDFHB000702","SEEDFHB000702","Env2",4,0,0
"SEEDFHB000703","SEEDFHB000703","Env2",4,11,4
"SEEDFHB000704","SEEDFHB000704","Env2",4,7,6
"SEEDFHB000705","SEEDFHB000705","Env2",14,14,7
"SEEDFHB000706","SEEDFHB000706","Env2",6,4,4
"SEEDFHB000707","SEEDFHB000707","Env2",4,4,4
"SEEDFHB000708","SEEDFHB000708","Env2",10,5,4
"SEEDFHB000709","SEEDFHB000709","Env2",4,7,6
"SEEDFHB000710","SEEDFHB000710","Env2",4,4,4
"SEEDFHB000711","SEEDFHB000711","Env2",4,0,5
"SEEDFHB000712","SEEDFHB000712","Env2",4,4,4
"SEEDFHB000713","SEEDFHB000713","Env2",4,14,4
"SEEDFHB000714","SEEDFHB000714","Env2",4,9,7
"SEEDFHB000715","SEEDFHB000715","Env2",4,7,7
"SEEDFHB000716","SEEDFHB000716","Env2",10,4,7
"SEEDFHB000717","SEEDFHB000717","Env2",4,4,7
"SEEDFHB000718","SEEDFHB000718","Env2",10,4,4
"SEEDFHB000719","SEEDFHB000719","Env2",14,5,4
"SEEDFHB000720","SEEDFHB000720","Env2",4,6,7
"SEEDFHB000283","SEEDFHB000283","Env3",15,5,11
"SEEDFHB000284","SEEDFHB000284","Env3",9,11,9
"SEEDFHB000285","SEEDFHB000285","Env3",9,4,4
"SEEDFHB000286","SEEDFHB000286","Env3",4,4,4
"SEEDFHB000287","SEEDFHB000287","Env3",4,4,9
"SEEDFHB000288","SEEDFHB000288","Env3",0,0,4
"SEEDFHB000289","SEEDFHB000289","Env3",2,0,10
"SEEDFHB000290","SEEDFHB000290","Env3",4,5,10
"SEEDFHB000291","SEEDFHB000291","Env3",7,6,7
"SEEDFHB000292","SEEDFHB000292","Env3",10,9,4
"SEEDFHB000293","SEEDFHB000293","Env3",4,0,9
"SEEDFHB000294","SEEDFHB000294","Env3",9,4,11
"SEEDFHB000295","SEEDFHB000295","Env3",4,5,0
"SEEDFHB000296","SEEDFHB000296","Env3",7,0,7
"SEEDFHB000297","SEEDFHB000297","Env3",7,4,4
"SEEDFHB000298","SEEDFHB000298","Env3",6,5,11
"SEEDFHB000299","SEEDFHB000299","Env3",7,10,11
"SEEDFHB000300","SEEDFHB000300","Env3",6,7,13
"SEEDFHB000301","SEEDFHB000301","Env3",4,11,5
"SEEDFHB000302","SEEDFHB000302","Env3",5,3,14
"SEEDFHB000303","SEEDFHB000303","Env3",4,11,8
"SEEDFHB000304","SEEDFHB000304","Env3",0,4,6
"SEEDFHB000305","SEEDFHB000305","Env3",8,7,7
